Español,English,known,comment
cremee,trust me,0,
broma,joke,0,
mejor,the best,0,
verdad,true,0,
no se preocupe,dont worry,0,
nosotras,we,0,
derecho,law,0,
mujer,woman,0,
tenemos,we have,0,
enseguida,right away,0,natychmiast
es suficiente para mi,it is enought for me,0,
con placer,with pleasure,0,
buscar,search,0,
creo,I believe,0,
creo que,I believe that,0,
vestido,dress,0,
diga,say,0,
diganme,tell me,0,
no diga,do not say,0,
pues,well,0,
pues si,you are right,0,
disfruto,I like,0,
otra vez,again,0,
otra vez por favour,once again please,0,
disculpe,sorry,0,przepraszam
de acuerdo,agree,0,
exstraño,strange,0,
cuadro,picture,0,
peligra,danger,0,Mi mujer es peligra
peligrosa/peligroso,dangerous,0,Mi mujer es peligrosa
siempre,always,0,
pensado,throught-out,0,wyjście z sytuacji
pensando,thinking,0,
dura,hard,0,
suerte,luck,0,Suerte! Good Luck! Powodzenia!
te quiero,i love You,0,
quiero,want,0,Yo quiero / I want
pasa nada,nothing happens,0,
nunca,never,0,Yo nunca trabajo / I never work
